,original,pos,deplab,ld,sd,pe
pos,0.9012661549563734,0.2046185134159942,0.47556255330315556,0.901594174375123,0.8975267335826281,0.8982483763038772
deplab,0.7284655251590895,0.47707144262940365,0.17699927835727874,0.7270878436003412,0.7209866824115988,0.7251853309715935
ld,0.9605739252454782,0.932651511280733,0.7028895693010196,-0.019338586415014847,0.12492524072805233,-0.008438224175838949
sd,0.1936112940311432,0.18734769523143768,0.16686590015888214,0.0979568362236023,0.008734680712223053,0.03169471397995949
pe,0.9260426163673401,0.9235047101974487,0.9051134586334229,0.9018952250480652,0.8612554669380188,0.8470494151115417
