,original,pos,deplab,ld,sd,pe
pos,0.9326379321655842,0.17605458243127994,0.6493341205799383,0.9326379321655842,0.9346191694548317,0.9322180673095847
deplab,0.7895427409302631,0.5627894771370465,0.18774519451551533,0.7884799580135144,0.7977957095060028,0.7872334842222659
ld,0.9633222560388635,0.9466100701570213,0.8956909026005309,-0.008529864887993455,0.3455166445907283,-0.00882074235445307
sd,0.18007639050483704,0.1749092936515808,0.1695023477077484,0.09045484662055969,-0.009080898016691208,0.030993156135082245
pe,0.92740797996521,0.9260104298591614,0.9219016432762146,0.9029513597488403,0.8908395171165466,0.847873330116272
