,original,pos,deplab,ld,sd,pe
pos,0.9012661549563734,0.21262218723348422,0.5935183362855081,0.9015285704913731,0.9034310831201207,0.9016597782588729
deplab,0.7284655251590895,0.49635898445187954,0.18500295217476875,0.7263005969953421,0.7396181853965754,0.7289247523453388
ld,0.9605739252454782,0.9424559942114388,0.8844575438671751,-0.03653851717523726,0.3263236886669546,0.009670220667602591
sd,0.1936112940311432,0.18836984038352966,0.1817910075187683,0.10064255446195602,-0.030551670119166374,0.010912388563156128
pe,0.9260426163673401,0.9244909286499023,0.9197347164154053,0.9027995467185974,0.8888114094734192,0.8558727502822876
