,original,pos,deplab,ld,sd,pe
pos,0.9326379321655842,0.17597585777078004,0.6492553959194385,0.932821623040084,0.9346454110083317,0.9331365216820836
deplab,0.7895427409302631,0.5625795447090468,0.18779767762251526,0.7887292527717641,0.797533293971003,0.787207242668766
ld,0.9633222560388635,0.9466100092520545,0.895690901764652,-0.008529855152595411,0.3455181867516134,-0.008820843128934941
sd,0.18007639050483704,0.17490936815738678,0.1695024073123932,0.09045477211475372,-0.009080947376787663,0.030992301180958748
pe,0.92740797996521,0.9260104298591614,0.9219016432762146,0.9029514789581299,0.8908394575119019,0.847873330116272
