,original,pos,deplab,ld,sd
pos,0.8853092783505154,0.04381443298969072,0.3402061855670103,0.8878865979381443,0.8827319587628866
deplab,0.6585051546391752,0.2268041237113402,0.05670103092783505,0.654639175257732,0.6391752577319587
ld,0.936723483751583,0.8604405220085107,0.7113951723602268,-1.8629779524930483,-0.8725201418665853
sd,0.22343753278255463,0.15562938153743744,0.1395741105079651,-0.3387422561645508,-1.6426149606704712
