,original,pos,deplab,ld,sd
pos,0.8397435897435898,0.6346153846153846,0.6346153846153846,0.8589743589743589,0.6346153846153846
deplab,0.5192307692307693,0.3717948717948718,0.38461538461538464,0.5256410256410257,0.38461538461538464
ld,0.7643578062358972,0.2598049817080055,-1.6517966594055848,-0.8182485597828584,-1.640455402879371
sd,-0.9574419260025024,-1.2765491008758545,-1.3933689594268799,-1.2183146476745605,-1.393104910850525
