,original,pos,deplab,ld,sd
pos,0.8397435897435898,0.4935897435897436,0.5064102564102564,0.8589743589743589,0.8269230769230769
deplab,0.5192307692307693,0.3269230769230769,0.32051282051282054,0.5384615384615384,0.48717948717948717
ld,0.7643578062358972,0.6256560845141865,0.4842804670838601,-1.248741880354609,-0.6100640803811042
sd,-0.9574419260025024,-1.0069298663960318,-1.0427371364688818,-1.4472108092042757,-1.387994647026062
