,original,pos,deplab,ld,sd
pos,0.9008363201911589,0.12053630691623524,0.566971989911058,0.9000398247710075,0.9012345679012346
deplab,0.7030399575202443,0.44683393070489846,0.1464224080711536,0.6982609849993362,0.7157838842426656
ld,0.9671144179340692,0.9461060811873362,0.8837532545647446,-0.0863270583210789,0.29859720806831436
sd,0.25798299908638,0.24584120512008667,0.2347443550825119,0.11002669483423233,-0.08852604776620865
