,pos,deplab,sd
pos,0.9882524119344251,0.34374715817494894,-8.267127421235365e-05
deplab,0.3431696244325215,0.9013619479983492,-0.020326042096574515
sd,-0.0006003443738948899,0.0014854212163707414,0.040926883589496255
