,original,pos,deplab,sd
pos,0.9356283750613648,0.20207412862052038,0.680473735886107,0.9356897398134512
deplab,0.7885984290623466,0.584499263622975,0.25251595483554246,0.8006872852233677
sd,0.7431414127349854,0.7435875535011292,0.7420375347137451,0.7127269506454468
