,sd,ld,pe
sd,0.040926883589496255,0.028681703107610312,0.024438387262464945
ld,0.6547570647327869,1.0437272330964484,1.0445957226218616
pe,0.03851326640803099,0.025808231012278582,0.0901879614446266
