,original,sd,ld,pe
sd,0.7431414127349854,0.7127269506454468,0.7218268513679504,0.7249802350997925
ld,0.9808535369049827,0.33863275414830385,-0.042890011241720094,-0.04374187226448645
pe,0.9314343333244324,0.8955617547035217,0.9073956608772278,0.8474301695823669
