,original,sd,ld,pe
sd,0.7004489898681641,0.6834664344787598,0.6790987849235535,0.6809621453285217
ld,0.978061935079452,0.4214797436813388,0.275590789117932,0.38967518290043357
pe,0.9252301454544067,0.8918723464012146,0.890762448310852,0.8881591558456421
