,original,pos,deplab,sd
pos,0.9374233128834356,0.8840490797546012,0.8874233128834356,0.8791411042944786
deplab,0.7757668711656441,0.7239263803680982,0.7214723926380369,0.7171779141104294
sd,0.7004489898681641,0.6796365976333618,0.6815670728683472,0.6834664344787598
