,original,pos,deplab,ld,sd,pe
pos,0.9374233128834356,0.8840490797546012,0.8874233128834356,0.9355828220858896,0.8791411042944786,0.9260736196319018
deplab,0.7757668711656441,0.7239263803680982,0.7214723926380369,0.7677914110429448,0.7171779141104294,0.7625766871165645
ld,0.978061935079452,0.6852046780832456,0.3152531681719607,0.275590789117932,0.4214797436813388,0.38967518290043357
sd,0.16115689277648926,0.0969262570142746,0.049903444945812225,0.058593060821294785,0.06004885584115982,0.05533049628138542
pe,0.9252301454544067,0.9001196622848511,0.8841076493263245,0.890762448310852,0.8918723464012146,0.8881591558456421
