,pos,deplab,sd
pos,0.07178973493560814,0.06725130341669039,0.07839108987221566
deplab,0.08919879965502309,0.09342122804105968,0.10081047771662388
sd,0.029712930614289923,0.026956876621909043,0.024245242173310477
