,pos,deplab,ld,sd,pe
pos,0.07178973493560814,0.06725130341669039,0.0024755081012278746,0.07839108987221566,0.015265633290905245
deplab,0.08919879965502309,0.09342122804105968,0.013722892254618868,0.10081047771662388,0.022695552574946598
ld,0.29942608590775643,0.6776756595211413,0.7182276712409377,0.5690664071829968,0.601584348675446
sd,0.39855965609424493,0.6903424725678721,0.6364222478367194,0.6273888456980713,0.656666895668409
pe,0.02713971577009433,0.04444569422009681,0.03725310649776403,0.0360535151357495,0.04006677667269265
