,pos,deplab,ld,sd,pe
pos,0.9064485497329365,0.6539467234076943,0.0,0.015678217974443243,0.002888092784765872
deplab,0.552082511474286,0.9532132081477632,0.011083874513346026,0.029029195154001708,0.013722892254618868
ld,0.014213661766399155,0.205012020987968,1.0916812769744966,0.9362340802226682,1.101779954123315
sd,0.06555444558030954,0.25052778275026966,1.0982524269869707,1.554487188970635,1.2430305723798378
pe,0.0021478103221934663,0.016441314078542324,0.026496403416242376,0.06967338208489116,0.09225296283798545
