,pos,deplab,ld,sd,pe
pos,0.9882524119344251,0.34374715817494894,0.0009920552905482438,-8.267127421235365e-05,0.003306850968493924
deplab,0.3431696244325215,0.9013619479983492,0.0046430045398266895,-0.020326042096574515,0.008460586050350827
ld,0.01006448936022375,0.051834264657116935,1.0437272330964484,0.6547570647327869,1.0445957226218616
sd,0.035023098262705665,0.07150464597793382,0.6691468609692465,1.1549516872307322,0.824158560450364
pe,0.0016443466783986338,0.005293700755909292,0.025808231012278582,0.03851326640803099,0.0901879614446266
