,original,pos,deplab,sd
pos,0.9356283750613648,0.20207412862052038,0.680473735886107,0.9345851742758959
deplab,0.7885984290623466,0.584499263622975,0.25251595483554246,0.7885370643102602
sd,0.04315294325351715,0.03920974209904671,0.03666899725794792,-0.12842680513858795
