,pos,deplab,sd
pos,0.07302748898622202,0.06601354936607651,-0.0008251693670759952
deplab,0.08655978191375024,0.09183781739629593,0.013722892254618868
sd,0.22840468087738908,0.14102298857296391,0.49217574127075336
