,oracle_off,leace_off,leace_on,regressout_off
pos,120.97483825683594,320.7523193359375,193.7841033935547,228.7171630859375
deplab,141.00025939941406,342.6446228027344,253.5975341796875,233.08717346191406
ld,135.46473693847656,196.24436950683594,138.75465393066406,264.7967834472656
sd,316.14422607421875,325.39306640625,367.51318359375,359.5914001464844
pe,352.93310546875,323.7826843261719,323.4524841308594,261.26531982421875
