,pos,deplab,sd,sdm
pos,0.1700715082332874,0.6169782851144788,0.9326641737190842,0.9347634979990815
deplab,0.5660696713245424,0.11601390802335498,0.7884143541297645,0.798373023683002
sd,-0.008679240942001343,-0.008744395337998867,-0.005062507465481758,-0.005913009401410818
sdm,0.17464275658130646,0.16878092288970947,0.17551381886005402,-0.0042696683667600155
