,pos,deplab,sd,sdm
pos,1.0014576407534352,0.42003430956301724,0.0005328639546755554,0.0
deplab,0.3413275496192735,1.0083205904381476,0.0006436462364249884,0.0
sd,1.0,1.0,1.0,0.0
sdm,0.03041443568168134,0.06288932422276661,0.02271380342882523,1.046938590105755
