,original,pos,deplab,ld,sd,pe
pos,0.9012661549563734,0.8651184150101686,0.8653152266614184,0.9008725316538739,0.8653808305451682,0.8994948500951256
deplab,0.7284655251590895,0.6948763366791314,0.6952699599816309,0.7283999212753395,0.6943515056091321,0.7270878436003412
ld,0.9605739252454782,0.8840267372801792,0.3259879833528795,0.3222917141462083,0.5753211276183823,0.33671083026052684
sd,0.1936112940311432,0.18340350687503815,0.13315680623054504,0.1416141837835312,0.15426525473594666,0.13601437211036682
pe,0.9260426163673401,0.9093363285064697,0.8805109262466431,0.8925806283950806,0.8959513306617737,0.8818753361701965
