,sd,ld,pe
sd,0.02116538384754585,0.0061961170313145075,0.011875812932084173
ld,0.40106522517633736,0.6644800512736744,0.6494691127760113
pe,0.03249449342148836,0.0361343931486906,0.04769465186213784
