,original,sd,ld,pe
sd,0.7712098360061646,0.7498758435249329,0.7586929202079773,0.7594835162162781
ld,0.9633222560388635,0.3455166445907283,-0.008529864887993455,-0.00882074235445307
pe,0.92740797996521,0.8908395171165466,0.9029513597488403,0.847873330116272
