,pos,deplab,sd
pos,0.049504060950190554,0.04923452885790269,0.04914468482714007
deplab,0.054856751023207084,0.054213898472153854,0.05571388775794461
sd,0.005340279927256164,0.008899347906133559,0.02116538384754585
