,original,pos,deplab,sd
pos,0.9326379321655842,0.17605458243127994,0.6493341205799383,0.9346191694548317
deplab,0.7895427409302631,0.5627894771370465,0.18774519451551533,0.7977957095060028
sd,0.7712098360061646,0.7719417214393616,0.7720147967338562,0.7498758435249329
