,original,sd,ld,pe
sd,0.7637253999710083,0.7475608587265015,0.7589932680130005,0.7546555399894714
ld,0.9605739252454782,0.5753211276183823,0.3222917141462083,0.33671083026052684
pe,0.9260426163673401,0.8959513306617737,0.8925806283950806,0.8818753361701965
