,sd,ld,pe
sd,0.02766301917479841,0.01623023360672904,0.015205096255790918
ld,0.6413280785066913,1.0088546328443275,1.0091565852435753
pe,0.039430826172139666,0.026370940022844125,0.08576015256189795
