,sd probe (r²),sd probe (pearson r),sd probe (mse),pos probe (r²),pos probe (accuracy),deplabs probe (r²),deplabs probe (accuracy),l2 distance to original
original,0.2480329747659218,0.8614616296361748,808.3178393506494,0.6424123048782349,0.9482619240097009,0.2659180462360382,0.8295908516533109,
sd-erased,5.520751463251462e-08,0.7864638893791321,1195.6108323381684,0.590726380683809,0.9425285100972444,0.23996922854607822,0.8135051133732566,357.9031474088354
