,sd probe (r²),sd probe (pearson r),sd probe (mse),pos probe (r²),pos probe (accuracy),deplabs probe (r²),deplabs probe (accuracy),l2 distance to original
original,0.2480329747659218,0.8614616296361748,808.3178393506494,0.6424123048782349,0.9482619240097009,0.2659180462360382,0.8295908516533109,
sd-erased,-1.1365346120552982e-12,0.7864638888929972,1195.6108347347385,0.6334939126808167,0.9488741160496347,0.26122455545563134,0.8375807426360361,246.15087008938838
