,sd probe (r²),sd probe (pearson r),sd probe (mse),pos probe (r²),pos probe (accuracy),deplabs probe (r²),deplabs probe (accuracy),l2 distance to original
original,0.2480329747659218,0.8614616296361748,808.3178393506494,0.6424123048782349,0.9482619240097009,0.2659180462360382,0.8295908516533109,
pos-erased,0.24540608580369094,0.8601047699544899,815.6390749576374,-9.742203837959096e-05,0.1690984294919591,0.12137890607118607,0.5971344703361562,130.54007
