,sd probe (r²),sd probe (pearson r),sd probe (mse),pos probe (r²),pos probe (accuracy),deplabs probe (r²),deplabs probe (accuracy),l2 distance to original
original,0.2480329747659218,0.8614616296361748,808.3178393506494,0.6424123048782349,0.9482619240097009,0.2659180462360382,0.8295908516533109,
pos-erased,0.24531386597834876,0.859090388046778,821.0420406856213,0.00249397692664509,0.17001279324391144,0.115419053214438,0.5738358540471388,196.37282150595735
