,sd probe (r²),pos probe (r²),deplabs probe (r²),l2 distance to original
original,0.2480329747659218,0.6424123048782349,0.2659180462360382,
deplabs-erased,0.22241211580990083,0.1247701310089352,0.0070156530622367,266.8523490765745
