,sd probe (r²),pos probe (r²),deplabs probe (r²),l2 distance to original
original,0.2480329747659218,0.6424123048782349,0.2659180462360382,
deplabs-erased,0.2330063445659948,0.27432313561439514,0.06029660254716873,165.7276
