,pos,deplab,ld,sd
pos,0.9374443814343046,0.6188775955330659,0.0036511952538823556,0.0063895916942942055
deplab,0.542150781624983,0.8355769974727538,0.0022923923113107314,-0.004584784622621463
ld,0.03191065155610673,0.11364750026192938,1.321868688149296,0.8552134080619098
sd,-0.2618260197508031,-0.4272204602742602,-2.3213959011955927,-3.942792751771268
