,pos,deplab,ld,sd
pos,0.13965821846100168,0.14422221252835454,0.005476792880823589,0.147873407782237
deplab,0.13868973483429803,0.13868973483429803,-0.0057309807782768285,0.13868973483429803
ld,0.2348866723369445,0.8848721530494098,0.9100383354878737,0.6141560529992047
sd,-0.5607073186864382,-1.812991442504115,-1.5520968117648075,-1.185613015599432
