,pos,deplab,sd,sdm,original
pos,-2.3007709980010986,-2.395914077758789,-2.409287691116333,-2.4212048053741455,-2.240086555480957
deplab,-2.914226770401001,-2.7398197650909424,-2.9793193340301514,-2.8269753456115723,-3.1027421951293945
sd,-2.070261240005493,-2.0894060134887695,-1.9219956398010254,-1.96382474899292,-1.8335659503936768
sdm,0.4839193820953369,0.4748055338859558,0.49891388416290283,0.4067928194999695,0.4982837438583374
