,pos,deplab,sd,sdm
pos,1.001479815808401,0.3931019088797215,0.0029761658716446204,0.0
deplab,0.3524556335121749,1.0020635575732564,0.0009286009079653157,0.0
sd,1.0,1.0,1.0,0.0
sdm,0.03572957194911397,0.07519859785511596,0.011309819916158204,1.1500428525197033
