,oracle_off,leace_off,regressout_off
pos,135.68804931640625,210.04295349121094,207.97947514462575
deplab,145.1964569091797,342.2256774902344,196.45763400424582
ld,136.7521209716797,181.91566467285156,254.3863037559986
sd,331.2062683105469,342.2224426269531,396.10833740234375
