,oracle_off,leace_off,regressout_off
pos,127.65347290039062,330.17376708984375,228.11729320938858
deplab,142.96449279785156,332.2464599609375,229.85444076379162
ld,145.5999755859375,197.691650390625,269.99298577929744
sd,325.4419860839844,332.2395324707031,364.7916564941406
