,oracle_off,leace_off,leace_on,regressout_off
pos,120.97483825683594,322.756591796875,194.493896484375,228.73895263671875
deplab,141.00025939941406,343.8264465332031,254.82015991210938,232.7675018310547
ld,135.46473693847656,196.34393310546875,138.1050567626953,264.23736572265625
sd,316.14422607421875,327.42047119140625,368.8849182128906,360.658447265625
pe,352.93310546875,325.8109436035156,325.0575866699219,263.8624572753906
