,pos,deplab,ld,sd,pe
pos,0.9540537626680083,0.5829979156184864,-0.0004492201538131013,0.005121109753468023,0.004132825415079533
deplab,0.41056849593931477,0.9006364240255427,0.00224998392868625,0.012214198470010929,0.00535710459211014
ld,0.029068469621023274,0.26826082737838886,1.020132324964029,0.8699472914631456,1.008784565096
sd,0.032351412302930926,0.13813963697778364,0.4940541216162445,0.9548854794038097,0.8362971843219991
pe,0.0027405932783601816,0.022600642091416545,0.02607589639232777,0.06996130446292737,0.08530190712569052
