,pos,deplab,ld,sd,pe
pos,0.049504060950190554,0.04923452885790269,0.0005390641845754995,0.04914468482714007,0.002425788830590081
deplab,0.054856751023207084,0.054213898472153854,0.00010714209184226053,0.05571388775794461,0.00224998392868625
ld,0.07968901294685582,0.6606320713217653,0.6644800512736744,0.40106522517633736,0.6494691127760113
sd,0.05272309762292626,0.31224670080906425,0.2685644476878918,0.20322181870685474,0.2974874074831175
pe,0.018040517321336047,0.049168028896237836,0.0361343931486906,0.03249449342148836,0.04769465186213784
