,pos,deplab,ld,sd,pe
pos,0.9430927909149716,0.4214583483073385,-0.00035937612305048106,-0.0029648530151655805,-0.0005390641845754995
deplab,0.3790687209377077,0.8875650888207941,0.0035356890307927102,-0.018214155613174077,-0.0007499946428952686
ld,0.01886156864960642,0.07924052420936922,1.0380382146703595,0.6602825872214246,0.9899328719909493
sd,0.02707204491268167,0.061051637361989486,0.4801824192871349,1.1577990079145486,0.9436376446024847
pe,0.001675611564751378,0.006811673502326809,0.02509935205781355,0.04020463662889584,0.07577390591408562
