,original,pos,deplab,ld,sd,pe
pos,0.9374233128834356,0.2696319018404908,0.5472392638036809,0.9365030674846626,0.9355828220858896,0.9349693251533743
deplab,0.7757668711656441,0.47730061349693254,0.2411042944785276,0.7677914110429448,0.7773006134969325,0.7705521472392638
ld,0.978061935079452,0.9667388931418747,0.9101208692728117,-0.08614881922600781,0.28685099181388296,-0.0989055474144438
sd,0.16115689277648926,0.1505591720342636,0.13869217038154602,-0.014517432078719139,-0.10549760609865189,-0.03961167857050896
pe,0.9252301454544067,0.9236093163490295,0.9191364049911499,0.9010432362556458,0.8867849707603455,0.8423693180084229
