,original,pos,deplab,ld,sd,pe
pos,0.9356283750613648,0.20207412862052038,0.680473735886107,0.9348919980363279,0.9356897398134512,0.9331737849779087
deplab,0.7885984290623466,0.584499263622975,0.25251595483554246,0.7858370152184585,0.8006872852233677,0.7835665193912617
ld,0.9808535369049827,0.9709817469188646,0.9300117150831806,-0.042890011241720094,0.33863275414830385,-0.04374187226448645
sd,0.26264142990112305,0.2534429132938385,0.2438613474369049,0.08689574152231216,-0.04069673269987106,0.04618324711918831
pe,0.9314343333244324,0.9299027323722839,0.926503598690033,0.9073956608772278,0.8955617547035217,0.8474301695823669
