,original,pos,deplab,ld,sd,pe
pos,0.9374233128834356,0.2634969325153374,0.4512269938650307,0.9374233128834356,0.9257668711656442,0.9352760736196319
deplab,0.7757668711656441,0.4549079754601227,0.22177914110429447,0.7693251533742331,0.7588957055214723,0.7677914110429448
ld,0.978061935079452,0.9641600935476429,0.7775474811174108,-0.08966996716823128,0.06236701888953822,-0.09954709888214741
sd,0.16115689277648926,0.15059234201908112,0.12078261375427246,-0.015834055840969086,-0.08935943245887756,-0.039166051894426346
pe,0.9252301454544067,0.9232429265975952,0.9100181460380554,0.9007148742675781,0.8607662320137024,0.8398749232292175
