,original,pos,deplab,ld,sd,pe
pos,0.9356283750613648,0.20219685812469318,0.6805351006381934,0.9350760922925871,0.9353829160530192,0.9336033382425135
deplab,0.7885984290623466,0.584499263622975,0.25239322533136965,0.7857756504663721,0.8007486499754541,0.7838119783996073
ld,0.9808535369049827,0.9709817687068454,0.93001167525265,-0.04289018959630431,0.3386332182939593,-0.04374213590153353
sd,0.26264142990112305,0.2534428834915161,0.24386142194271088,0.08689567446708679,-0.04069695994257927,0.046183034777641296
pe,0.9314343333244324,0.9299026131629944,0.926503598690033,0.9073956608772278,0.8955617547035217,0.8474302291870117
