,oracle_off,leace_off,leace_on,regressout_off
pos,149.9073944091797,390.50042724609375,161.96917724609375,253.19436730051257
deplab,144.6227569580078,287.8337097167969,185.442138671875,255.42805949451326
ld,138.04776000976562,209.1669921875,138.39869689941406,289.2058127311025
sd,355.5873107910156,367.4133605957031,402.59002685546875,403.9830322265625
pe,398.196533203125,366.7737731933594,362.99176025390625,280.8899841308594
