,original,pos,deplab,sd
pos,0.9326379321655842,0.9049793347766187,0.9050449386603687,0.9323623958538345
deplab,0.7895427409302631,0.7617135734435478,0.758367775372302,0.7885980450042642
sd,0.040860746055841446,0.02554415911436081,0.028019271790981293,0.02567172795534134
