,original,pos,deplab,sd
pos,0.9326379321655842,0.17605458243127994,0.6493341205799383,0.9322311880863348
deplab,0.7895427409302631,0.5627894771370465,0.18774519451551533,0.7895033786000131
sd,0.040860746055841446,0.03810558840632439,0.034802407026290894,-0.06616052240133286
