,pos,deplab,sd
pos,0.9911785231761442,0.3711483390114858,0.0005328639546755554
deplab,0.3370755835725877,0.8945902509050057,5.851329422057461e-05
sd,0.06742798199895284,0.14826794942194776,2.61917069039601
