,pos,deplab,sd
pos,0.03623474891794243,0.03614880311880109,0.0003609723563932077
deplab,0.041368899013855986,0.04634252902259395,0.001404319061290793
sd,0.37484844061703027,0.31427410178244497,0.3717264016604681
